"Id";"Canal";"Publicação";"Workspace";"Template";"Etapa";"Veiculação";"Situação"
"3773513";"";"Vídeo 3 - Bruno - O olho do dono";"Marketing (MKT)";"Post Único: Feed";"Publicação";"05/05/2026 00:00";"Não publicado"
"3839109";"";"eKyte em diferentes áreas";"Marketing (MKT)";"Post Único: Story, Reel, Short, TikTok";"Publicação";"05/05/2026 08:00";"Não publicado"
"3839115";"";"Post Único: Feed";"Marketing (MKT)";"Post Único: Feed";"Redação";"05/05/2026 08:00";"Não publicado"
"3839117";"";"Como lidar com gerações diferentes na equipe";"Marketing (MKT)";"Post Único: Feed";"Publicação";"05/05/2026 08:00";"Não publicado"
"3839120";"";"Conselho para empreendedores";"Marketing (MKT)";"Post Único: Feed";"Publicação";"05/05/2026 08:00";"Não publicado"
"3839124";"";"Post Único: Feed";"Marketing (MKT)";"Post Único: Feed";"Redação";"05/05/2026 08:00";"Não publicado"
"3839126";"";"Post Único: Feed";"Marketing (MKT)";"Post Único: Feed";"Redação";"05/05/2026 08:00";"Não publicado"
"3838963";"";"Planejar e priorizar demandas é um dos maiores desafios";"Marketing (MKT)";"Post Único: Feed";"Publicação";"08/05/2026 08:00";"Não publicado"
"3838964";"";"Planejar e priorizar demandas é um dos maiores desafios";"Marketing (MKT)";"Roteiro Conteúdo (Simples)";"Publicação";"08/05/2026 08:00";"Não publicado"
"3838994";"";"Post Único: Feed";"Marketing (MKT)";"Post Único: Feed";"Redação";"08/05/2026 08:00";"Não publicado"
"3838995";"";"Roteiro Conteúdo (Simples)";"Marketing (MKT)";"Roteiro Conteúdo (Simples)";"Redação";"08/05/2026 08:00";"Não publicado"
"3781249";"";"Post Único: Feed";"Marketing (MKT)";"Post Único: Feed";"Publicação";"08/05/2026 08:00";"Não publicado"
"3781250";"";"30 Softwares para Gestão de Equipes e Produtividade";"Marketing (MKT)";"Roteiro Conteúdo (Simples)";"Publicação";"08/05/2026 08:00";"Não publicado"
"3839008";"";"Os 10 gargalos que limitam a produtividade das equipes no Brasil";"Marketing (MKT)";"Post Único: Feed";"Publicação";"08/05/2026 08:00";"Não publicado"
"3839009";"";"Os 10 gargalos que limitam a produtividade das equipes no Brasil";"Marketing (MKT)";"Roteiro Conteúdo (Simples)";"Publicação";"08/05/2026 08:00";"Não publicado"
"3839016";"";"Post Único: Feed";"Marketing (MKT)";"Post Único: Feed";"Redação";"08/05/2026 08:00";"Não publicado"
"3839017";"";"Roteiro Conteúdo (Simples)";"Marketing (MKT)";"Roteiro Conteúdo (Simples)";"Redação";"08/05/2026 08:00";"Não publicado"
"3839063";"";"Roteiro Conteúdo (Simples)";"Marketing (MKT)";"Roteiro Conteúdo (Simples)";"Redação";"08/05/2026 08:00";"Não publicado"
"3839062";"";"Post Único: Feed";"Marketing (MKT)";"Post Único: Feed";"Redação";"08/05/2026 08:00";"Não publicado"
"3839029";"";"Post Único: Feed";"Marketing (MKT)";"Post Único: Feed";"Redação";"08/05/2026 08:00";"Não publicado"
"3839030";"";"Roteiro Conteúdo (Simples)";"Marketing (MKT)";"Roteiro Conteúdo (Simples)";"Redação";"08/05/2026 08:00";"Não publicado"
"3839058";"";"Post Único: Feed";"Marketing (MKT)";"Post Único: Feed";"Redação";"08/05/2026 08:00";"Não publicado"
"3839059";"";"Roteiro Conteúdo (Simples)";"Marketing (MKT)";"Roteiro Conteúdo (Simples)";"Redação";"08/05/2026 08:00";"Não publicado"
"3721909";"";"Entrevista Dalbosco com Alan | Quem está fazendo o que";"Marketing (MKT)";"Post Único: Story, Reel, Short, TikTok";"Publicação";"11/05/2026 08:00";"Não publicado"
"3924380";"";"Roteiro Conteúdo (Simples)";"Marketing (MKT)";"Roteiro Conteúdo (Simples)";"Redação";"12/05/2026 08:00";"Não publicado"
"3924379";"";"Post Único: Feed";"Marketing (MKT)";"Post Único: Feed";"Redação";"12/05/2026 08:00";"Não publicado"
"3924310";"";"Roteiro Conteúdo (Simples)";"Marketing (MKT)";"Roteiro Conteúdo (Simples)";"Redação";"12/05/2026 08:00";"Não publicado"
"3924309";"";"Post Único: Feed";"Marketing (MKT)";"Post Único: Feed";"Redação";"12/05/2026 08:00";"Não publicado"
"3838951";"";"A produtividade no Brasil estagnou nos últimos 10 anos";"Marketing (MKT)";"Roteiro Conteúdo (Simples)";"Publicação";"12/05/2026 08:00";"Não publicado"
"3838950";"";"A produtividade no Brasil estagnou nos últimos 10 anos";"Marketing (MKT)";"Post Único: Feed";"Publicação";"12/05/2026 08:00";"Não publicado"
"3832133";"";"Entrevista Dalbosco com Bruno | Indicadores";"Marketing (MKT)";"Post Único: Story, Reel, Short, TikTok";"Publicação";"12/05/2026 08:00";"Não publicado"
"3721913";"";"Entrevista Dalbosco com Alan | Consumo de cada etapa";"Marketing (MKT)";"Post Único: Feed";"Publicação";"13/05/2026 08:00";"Não publicado"
"3721915";"";"Sênior Sistemas";"Marketing (MKT)";"Post Único: Story, Reel, Short, TikTok";"Concluída";"14/05/2026 08:00";"Não publicado"
"3839113";"";"3 pilares da cultura";"Marketing (MKT)";"Post Único: Story, Reel, Short, TikTok";"Publicação";"14/05/2026 08:00";"Não publicado"
"3897204";"";"Post Único: Feed";"Marketing (MKT)";"Post Único: Feed";"Análise";"14/05/2026 08:00";"Não publicado"
"3897205";"";"Roteiro Conteúdo (Simples)";"Marketing (MKT)";"Roteiro Conteúdo (Simples)";"Análise";"14/05/2026 08:00";"Não publicado"
"3721918";"";"Roteiro Conteúdo (Simples)";"Marketing (MKT)";"Roteiro Conteúdo (Simples)";"Redação";"15/05/2026 08:00";"Não publicado"
"3721917";"";"Post Único: Feed";"Marketing (MKT)";"Post Único: Feed";"Redação";"15/05/2026 08:00";"Não publicado"
"3721906";"";"Roteiro Conteúdo (Simples)";"Marketing (MKT)";"Roteiro Conteúdo (Simples)";"Redação";"18/05/2026 08:00";"Não publicado"
"3721905";"";"Post Único: Feed";"Marketing (MKT)";"Post Único: Feed";"Redação";"18/05/2026 08:00";"Não publicado"
"3721908";"";"Roteiro Conteúdo (Simples)";"Marketing (MKT)";"Roteiro Conteúdo (Simples)";"Redação";"20/05/2026 08:00";"Não publicado"
"3721907";"";"Post Único: Feed";"Marketing (MKT)";"Post Único: Feed";"Redação";"20/05/2026 08:00";"Não publicado"